STATE,"Sex, Race, and Hispanic-Origin",Total population,Total citizen population,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
HAWAII,White alone or in combination,351,346,211,60.0,4.6,61.0,4.6,171,48.6,4.7,49.3,4.8
HAWAII,Black alone or in combination,28,27,15,B,B,B,B,8,B,B,B,B
HAWAII,Asian alone or in combination,590,527,285,48.2,4.6,54.0,4.8,241,40.9,4.5,45.7,4.8
IDAHO,Total,"1,299","1,226",743,57.2,2.7,60.6,2.7,587,45.2,2.7,47.9,2.8
IDAHO,Male,645,608,362,56.1,3.8,59.5,3.9,286,44.3,3.8,47.0,3.9
IDAHO,Female,654,618,381,58.2,3.8,61.6,3.8,301,46.0,3.8,48.7,3.9
IDAHO,White alone,"1,214","1,163",708,58.3,2.8,60.9,2.8,555,45.7,2.8,47.7,2.8
IDAHO,White non-Hispanic alone,"1,048","1,044",664,63.3,2.9,63.6,2.9,531,50.6,3.0,50.9,3.0
IDAHO,Black alone,8,8,8,B,B,B,B,6,B,B,B,B
IDAHO,Asian alone,33,22,9,B,B,B,B,8,B,B,B,B
IDAHO,Hispanic (of any race),182,126,51,27.7,10.1,40.0,13.3,30,16.5,8.4,23.8,11.6
IDAHO,White alone or in combination,"1,232","1,178",715,58.0,2.7,60.7,2.8,562,45.6,2.8,47.7,2.8
IDAHO,Black alone or in combination,12,12,11,B,B,B,B,9,B,B,B,B
IDAHO,Asian alone or in combination,33,22,9,B,B,B,B,8,B,B,B,B
ILLINOIS,Total,"9,732","8,947","6,068",62.4,1.6,67.8,1.6,"4,740",48.7,1.7,53.0,1.7
ILLINOIS,Male,"4,711","4,316","2,794",59.3,2.4,64.7,2.4,"2,183",46.3,2.4,50.6,2.5
ILLINOIS,Female,"5,021","4,630","3,274",65.2,2.2,70.7,2.2,"2,557",50.9,2.3,55.2,2.4
ILLINOIS,White alone,"7,564","7,078","4,892",64.7,1.8,69.1,1.8,"3,802",50.3,1.9,53.7,2.0
ILLINOIS,White non-Hispanic alone,"6,248","6,120","4,436",71.0,1.9,72.5,1.9,"3,494",55.9,2.1,57.1,2.1
ILLINOIS,Black alone,"1,334","1,274",861,64.5,5.3,67.6,5.3,723,54.2,5.5,56.8,5.6
ILLINOIS,Asian alone,673,455,205,30.5,7.4,45.1,9.8,150,22.4,6.7,33.1,9.2
ILLINOIS,Hispanic (of any race),"1,458","1,061",537,36.8,6.6,50.6,8.0,354,24.3,5.8,33.3,7.5
ILLINOIS,White alone or in combination,"7,666","7,180","4,973",64.9,1.8,69.3,1.8,"3,857",50.3,1.9,53.7,1.9
ILLINOIS,Black alone or in combination,"1,382","1,322",895,64.7,5.2,67.7,5.2,740,53.5,5.4,56.0,5.5
ILLINOIS,Asian alone or in combination,688,470,214,31.2,7.4,45.6,9.6,160,23.2,6.7,34.0,9.2
INDIANA,Total,"5,006","4,792","3,131",62.5,2.2,65.3,2.3,"2,364",47.2,2.3,49.3,2.4
INDIANA,Male,"2,404","2,331","1,522",63.3,3.2,65.3,3.2,"1,115",46.4,3.3,47.8,3.4
INDIANA,Female,"2,602","2,461","1,609",61.8,3.1,65.4,3.1,"1,249",48.0,3.2,50.7,3.3
INDIANA,White alone,"4,260","4,125","2,723",63.9,2.4,66.0,2.4,"2,066",48.5,2.5,50.1,2.6
INDIANA,White non-Hispanic alone,"3,937","3,921","2,634",66.9,2.5,67.2,2.5,"1,996",50.7,2.6,50.9,2.6
INDIANA,Black alone,484,468,299,61.8,8.8,63.9,8.8,221,45.7,9.0,47.2,9.2
INDIANA,Asian alone,138,98,40,28.9,16.0,40.5,20.5,27,19.7,14.1,27.6,18.7
INDIANA,Hispanic (of any race),337,212,96,28.4,12.7,45.2,17.7,77,22.9,11.8,36.5,17.1
INDIANA,White alone or in combination,"4,342","4,197","2,775",63.9,2.4,66.1,2.4,"2,099",48.3,2.5,50.0,2.5
INDIANA,Black alone or in combination,544,518,329,60.4,8.3,63.5,8.4,245,45.0,8.5,47.2,8.7
INDIANA,Asian alone or in combination,147,108,49,33.5,16.1,45.7,19.9,34,22.8,14.3,31.1,18.5
IOWA,Total,"2,376","2,239","1,658",69.8,2.6,74.0,2.5,"1,335",56.2,2.8,59.6,2.8
IOWA,Male,"1,176","1,105",833,70.8,3.6,75.4,3.5,660,56.1,3.9,59.7,4.0
IOWA,Female,"1,201","1,134",825,68.7,3.6,72.7,3.6,675,56.2,3.9,59.5,4.0
IOWA,White alone,"2,192","2,119","1,580",72.1,2.6,74.5,2.6,"1,270",57.9,2.9,59.9,2.9
IOWA,White non-Hispanic alone,"2,007","1,983","1,499",74.7,2.6,75.6,2.6,"1,206",60.1,3.0,60.8,3.0
IOWA,Black alone,89,76,47,52.6,17.4,61.3,18.3,41,46.4,17.4,54.1,18.8
IOWA,Asian alone,62,22,14,B,B,B,B,12,B,B,B,B
IOWA,Hispanic (of any race),206,148,85,41.5,14.7,57.8,17.4,69,33.5,14.1,46.7,17.5
IOWA,White alone or in combination,"2,218","2,133","1,591",71.8,2.6,74.6,2.6,"1,279",57.7,2.8,60.0,2.9
IOWA,Black alone or in combination,100,80,49,48.9,16.5,60.6,17.9,41,41.4,16.2,51.3,18.3
IOWA,Asian alone or in combination,72,26,19,B,B,B,B,16,B,B,B,B
KANSAS,Total,"2,149","2,026","1,449",67.4,2.8,71.5,2.8,"1,152",53.6,3.0,56.9,3.0
KANSAS,Male,"1,049",980,692,66.0,4.1,70.6,4.0,554,52.8,4.3,56.5,4.4
KANSAS,Female,"1,100","1,046",757,68.8,3.9,72.4,3.8,598,54.4,4.2,57.2,4.2
KANSAS,White alone,"1,880","1,777","1,311",69.7,2.9,73.8,2.9,"1,028",54.7,3.2,57.8,3.2
KANSAS,White non-Hispanic alone,"1,667","1,662","1,249",74.9,2.9,75.2,2.9,982,58.9,3.3,59.1,3.3
KANSAS,Black alone,129,125,65,50.1,14.7,51.9,15.0,58,44.9,14.7,46.5,15.0
KANSAS,Asian alone,59,46,33,B,B,B,B,33,B,B,B,B
KANSAS,Hispanic (of any race),231,134,71,30.8,13.2,53.3,18.8,55,23.9,12.2,41.4,18.5
KANSAS,White alone or in combination,"1,934","1,831","1,338",69.2,2.9,73.1,2.9,"1,050",54.3,3.1,57.3,3.2
KANSAS,Black alone or in combination,136,131,66,48.9,14.4,50.6,14.6,60,43.9,14.3,45.4,14.6
KANSAS,Asian alone or in combination,64,51,36,B,B,B,B,36,B,B,B,B
KENTUCKY,Total,"3,370","3,249","2,389",70.9,2.6,73.5,2.6,"1,746",51.8,2.9,53.8,2.9
KENTUCKY,Male,"1,627","1,553","1,092",67.1,3.9,70.3,3.8,789,48.5,4.1,50.8,4.2
KENTUCKY,Female,"1,743","1,696","1,297",74.5,3.5,76.5,3.4,958,55.0,3.9,56.5,4.0
KENTUCKY,White alone,"3,014","2,954","2,194",72.8,2.7,74.3,2.7,"1,587",52.7,3.0,53.7,3.0
KENTUCKY,White non-Hispanic alone,"2,928","2,921","2,183",74.5,2.7,74.7,2.7,"1,579",53.9,3.1,54.1,3.1
KENTUCKY,Black alone,248,233,164,66.2,12.0,70.7,12.0,131,52.8,12.7,56.4,13.0
KENTUCKY,Asian alone,82,37,14,17.4,17.5,B,B,12,14.1,16.0,B,B
KENTUCKY,Hispanic (of any race),96,37,15,15.8,19.4,B,B,12,12.9,17.8,B,B
KENTUCKY,White alone or in combination,"3,036","2,976","2,207",72.7,2.7,74.2,2.7,"1,600",52.7,3.0,53.8,3.0
KENTUCKY,Black alone or in combination,264,248,171,64.8,11.8,68.9,11.8,138,52.2,12.3,55.5,12.7
KENTUCKY,Asian alone or in combination,82,37,14,17.4,17.5,B,B,12,14.1,16.0,B,B
LOUISIANA,Total,"3,458","3,326","2,263",65.4,2.6,68.0,2.6,"1,656",47.9,2.7,49.8,2.7
LOUISIANA,Male,"1,635","1,557","1,032",63.1,3.8,66.3,3.8,774,47.3,3.9,49.7,4.0
LOUISIANA,Female,"1,823","1,770","1,231",67.5,3.5,69.5,3.5,882,48.4,3.7,49.8,3.8
LOUISIANA,White alone,"2,212","2,120","1,501",67.9,3.1,70.8,3.1,"1,075",48.6,3.4,50.7,3.4
LOUISIANA,White non-Hispanic alone,"2,047","2,023","1,455",71.1,3.2,71.9,3.2,"1,046",51.1,3.5,51.7,3.5
LOUISIANA,Black alone,"1,076","1,072",688,63.9,5.6,64.1,5.6,531,49.4,5.8,49.5,5.9
LOUISIANA,Asian alone,60,34,17,B,B,B,B,9,B,B,B,B
LOUISIANA,Hispanic (of any race),189,112,56,29.7,16.5,50.2,23.5,35,18.4,14.0,31.1,21.8
LOUISIANA,White alone or in combination,"2,289","2,188","1,543",67.4,3.1,70.5,3.1,"1,106",48.3,3.3,50.6,3.4
LOUISIANA,Black alone or in combination,"1,133","1,125",712,62.9,5.5,63.4,5.5,552,48.7,5.7,49.1,5.7
LOUISIANA,Asian alone or in combination,70,42,23,B,B,B,B,12,B,B,B,B
MAINE,Total,"1,074","1,056",828,77.1,2.6,78.4,2.5,693,64.5,2.9,65.6,2.9
MAINE,Male,527,519,397,75.4,3.7,76.6,3.7,329,62.4,4.2,63.4,4.2
MAINE,Female,546,537,431,78.8,3.5,80.1,3.4,364,66.6,4.0,67.7,4.0
MAINE,White alone,"1,011","1,002",796,78.7,2.6,79.4,2.5,669,66.2,3.0,66.8,3.0
MAINE,White non-Hispanic alone,"1,001",994,788,78.7,2.6,79.2,2.6,666,66.5,3.0,67.0,3.0
MAINE,Black alone,17,11,5,B,B,B,B,3,B,B,B,B
MAINE,Asian alone,20,17,6,B,B,B,B,6,B,B,B,B
MAINE,Hispanic (of any race),11,10,8,B,B,B,B,3,B,B,B,B
MAINE,White alone or in combination,"1,032","1,023",815,79.0,2.5,79.6,2.5,682,66.1,2.9,66.6,2.9
MAINE,Black alone or in combination,20,14,7,B,B,B,B,5,B,B,B,B
MAINE,Asian alone or in combination,20,17,6,B,B,B,B,6,B,B,B,B
MARYLAND,Total,"4,666","4,281","3,095",66.3,2.3,72.3,2.3,"2,320",49.7,2.5,54.2,2.6
MARYLAND,Male,"2,217","2,047","1,457",65.7,3.4,71.2,3.4,"1,107",49.9,3.6,54.1,3.7
MARYLAND,Female,"2,449","2,235","1,639",66.9,3.2,73.3,3.1,"1,213",49.5,3.4,54.3,3.5
MARYLAND,White alone,"2,800","2,635","2,021",72.2,2.8,76.7,2.8,"1,536",54.9,3.2,58.3,3.2
MARYLAND,White non-Hispanic alone,"2,466","2,421","1,869",75.8,2.9,77.2,2.9,"1,414",57.3,3.3,58.4,3.4
MARYLAND,Black alone,"1,414","1,293",856,60.5,5.3,66.2,5.3,630,44.5,5.4,48.7,5.6
MARYLAND,Asian alone,315,217,142,44.9,11.9,65.1,13.7,94,29.9,10.9,43.4,14.3
MARYLAND,Hispanic (of any race),500,328,195,39.0,11.5,59.5,14.3,158,31.7,11.0,48.3,14.6
MARYLAND,White alone or in combination,"2,874","2,708","2,064",71.8,2.8,76.2,2.7,"1,572",54.7,3.1,58.1,3.2
MARYLAND,Black alone or in combination,"1,467","1,346",887,60.5,5.2,65.9,5.2,651,44.4,5.3,48.4,5.5
MARYLAND,Asian alone or in combination,331,234,154,46.6,11.6,66.1,13.1,103,31.2,10.8,44.3,13.8
MASSACHUSETTS,Total,"5,460","4,919","3,345",61.3,2.2,68.0,2.2,"2,731",50.0,2.2,55.5,2.3
MASSACHUSETTS,Male,"2,594","2,335","1,556",60.0,3.1,66.6,3.2,"1,280",49.4,3.2,54.8,3.4
